Athlete,Country,Year,Sport,Gold,Silver,Bronze,Total
Pietro Piller Cottrer,Italy,2002,Cross Country Skiing,0,1,0,1
Beckie Scott,Canada,2002,Cross Country Skiing,1,0,0,1
René Sommerfeldt,Germany,2002,Cross Country Skiing,0,0,1,1
Jacob Clear,Australia,2012,Canoeing,1,0,0,1
Saúl Craviotto,Spain,2012,Canoeing,0,1,0,1
Liam Heath,Great Britain,2012,Canoeing,0,0,1,1
Carolin Leonhardt,Germany,2012,Canoeing,0,1,0,1
Daniele Molmenti,Italy,2012,Canoeing,1,0,0,1
Jon Schofield,Great Britain,2012,Canoeing,0,0,1,1
Dávid Tóth,Hungary,2012,Canoeing,0,1,0,1
Benjamin Boukpeti,Togo,2008,Canoeing,0,0,1,1
Marie Delattre,France,2008,Canoeing,0,0,1,1
Richard Riszdorfer,Slovakia,2008,Canoeing,0,1,0,1
Anne-Laure Viard,France,2008,Canoeing,0,0,1,1
Juraj Baca,Slovakia,2004,Canoeing,0,0,1,1
Kinga Bóta,Hungary,2004,Canoeing,0,1,0,1
Nils Olav Fjeldheim,Norway,2004,Canoeing,0,0,1,1
Meng Guanliang,China,2004,Canoeing,1,0,0,1
Markus Oscarsson,Sweden,2004,Canoeing,1,0,0,1
Michal Riszdorfer,Slovakia,2004,Canoeing,0,0,1,1
Grzegorz Kotowicz,Poland,2000,Canoeing,0,0,1,1
Krzysztof Kolomanski,Poland,2000,Canoeing,0,1,0,1
Michal Staniszewski,Poland,2000,Canoeing,0,1,0,1
Mark Zabel,Germany,2000,Canoeing,0,1,0,1
Brian Barden,United States,2008,Baseball,0,0,1,1
Yoandri Urgellés,Cuba,2008,Baseball,0,1,0,1
Adrian Burnside,Australia,2004,Baseball,0,1,0,1
Kosuke Fukudome,Japan,2004,Baseball,0,0,1,1
Craig Lewis,Australia,2004,Baseball,0,1,0,1
Chris Oxspring,Australia,2004,Baseball,0,1,0,1
Glenn Williams,Australia,2004,Baseball,0,1,0,1
Ryan Franklin,United States,2000,Baseball,1,0,0,1
Im Seon-Dong,South Korea,2000,Baseball,0,0,1,1
Marcus Jensen,United States,2000,Baseball,1,0,0,1
Jin Pil-Jung,South Korea,2000,Baseball,0,0,1,1
Mike Kinkade,United States,2000,Baseball,1,0,0,1
Pedro Luis Lazo,Cuba,2000,Baseball,0,1,0,1
Park Jae-Hong,South Korea,2000,Baseball,0,0,1,1
Park Jong-Ho,South Korea,2000,Baseball,0,0,1,1
Han Sun-Cheol,South Korea,2012,Boxing,0,1,0,1
Yegor Mekhontsev,Russia,2012,Boxing,1,0,0,1
Sahin Imranov,Azerbaijan,2008,Boxing,0,0,1,1
Zou Shiming,China,2008,Boxing,1,0,0,1
Gaydarbek Gaydarbekov,Russia,2004,Boxing,1,0,0,1
Michel López,Cuba,2004,Boxing,0,0,1,1
Maikro Romero,Cuba,2000,Boxing,0,0,1,1
Bolat Zhumadilov,Kazakhstan,2000,Boxing,0,1,0,1
Richy Adjei,Germany,2010,Bobsleigh,0,1,0,1
Thomas Lamparter,Switzerland,2006,Bobsleigh,0,0,1,1
Anja Schneiderheinze,Germany,2006,Bobsleigh,1,0,0,1
Filipp Yegorov,Russia,2006,Bobsleigh,0,1,0,1
Sandra Prokoff-Kiriasis,Germany,2002,Bobsleigh,0,1,0,1
Maksim Chudov,Russia,2010,Biathlon,0,0,1,1
Simon Eder,Austria,2010,Biathlon,0,1,0,1
Ferréol Cannard,France,2006,Biathlon,0,0,1,1
Olga Zaytseva,Russia,2006,Biathlon,1,0,0,1
Irina Nikulchina,Bulgaria,2002,Biathlon,0,0,1,1
Julien Robert,France,2002,Biathlon,0,0,1,1
Alison Cerutti,Brazil,2012,Beach Volleyball,0,1,0,1
Martinš Plavinš,Latvia,2012,Beach Volleyball,0,0,1,1
Tian Jia,China,2008,Beach Volleyball,0,1,0,1
Patrick Heuscher,Switzerland,2004,Beach Volleyball,0,0,1,1
Misty May-Treanor,United States,2004,Beach Volleyball,1,0,0,1
Sandra,Brazil,2000,Beach Volleyball,0,0,1,1
Shelda,Brazil,2000,Beach Volleyball,0,1,0,1
Rudy Fernández,Spain,2012,Basketball,0,1,0,1
Marc Gasol,Spain,2012,Basketball,0,1,0,1
Elodie Godin,France,2012,Basketball,0,1,0,1
LeBron James,United States,2012,Basketball,1,0,0,1
Aleksandr Kaun,Russia,2012,Basketball,0,0,1,1
Florence Lepron,France,2012,Basketball,0,1,0,1
Chris Paul,United States,2012,Basketball,1,0,0,1
Suzy Batkovic,Australia,2008,Basketball,0,1,0,1
Sue Bird,United States,2008,Basketball,1,0,0,1
Rohanee Cox,Australia,2008,Basketball,0,1,0,1
Lauren Jackson,Australia,2008,Basketball,0,1,0,1
Kara Lawson,United States,2008,Basketball,1,0,0,1
Irina Osipova,Russia,2008,Basketball,0,0,1,1
Belinda Snell,Australia,2008,Basketball,0,1,0,1
Penny Taylor,Australia,2008,Basketball,0,1,0,1
Nataliya Vodopyanova,Russia,2008,Basketball,0,0,1,1
Gabriel Fernández,Argentina,2004,Basketball,1,0,0,1
Manu Ginóbili,Argentina,2004,Basketball,1,0,0,1
Stephon Marbury,United States,2004,Basketball,0,0,1,1
Oksana Rakhmatulina,Russia,2004,Basketball,0,0,1,1
Alex Righetti,Italy,2004,Basketball,0,1,0,1
Rodolfo Rombaldoni,Italy,2004,Basketball,0,1,0,1
Pepe Sánchez,Argentina,2004,Basketball,1,0,0,1
Michelle Brogan-Griffiths,Australia,2000,Basketball,0,1,0,1
Andrius Giedraitis,Lithuania,2000,Basketball,0,0,1,1
Helen,Brazil,2000,Basketball,0,0,1,1
Jo Hill,Australia,2000,Basketball,0,1,0,1
Jason Kidd,United States,2000,Basketball,1,0,0,1
Laurent Sciarra,France,2000,Basketball,0,1,0,1
Jenny Whittle,Australia,2000,Basketball,0,1,0,1
Eurelijus Žukauskas,Lithuania,2000,Basketball,0,0,1,1
Xu Chen,China,2012,Badminton,0,1,0,1
Xie Xingfan,China,2008,Badminton,0,1,0,1
Gail Emms,Great Britain,2004,Badminton,0,1,0,1
Hian Eng,Indonesia,2004,Badminton,0,0,1,1
Na Gyeong-Min,South Korea,2004,Badminton,0,0,1,1
Nathan Robertson,Great Britain,2004,Badminton,0,1,0,1
Mette Schjoldager,Denmark,2004,Badminton,0,0,1,1
Simon Archer,Great Britain,2000,Badminton,0,0,1,1
Qin Yiyuan,China,2000,Badminton,0,0,1,1
Joanne Wright-Goode,Great Britain,2000,Badminton,0,0,1,1
Valerie Adams-Vili,New Zealand,2012,Athletics,1,0,0,1
Ehsan Haddadi,Iran,2012,Athletics,0,1,0,1
Robert Harting,Germany,2012,Athletics,1,0,0,1
Maryam Jamal,Bahrain,2012,Athletics,0,0,1,1
Olga Kaniskina,Russia,2012,Athletics,0,1,0,1
Trell Kimmons,United States,2012,Athletics,0,1,0,1
Leo Manzano,United States,2012,Athletics,0,1,0,1
Mahiedine Mekhissi-Benabbad,France,2012,Athletics,0,1,0,1
Aries Merritt,United States,2012,Athletics,1,0,0,1
Oleksandr P'iatnytsia,Ukraine,2012,Athletics,0,1,0,1
Darya Pishchalnikova,Russia,2012,Athletics,0,1,0,1
Olga Rypakova,Kazakhstan,2012,Athletics,1,0,0,1
Sherone Simpson,Jamaica,2012,Athletics,0,1,0,1
Jared Tallent,Australia,2012,Athletics,0,1,0,1
Richard Thompson,Trinidad and Tobago,2012,Athletics,0,0,1,1
Anita Wlodarczyk,Poland,2012,Athletics,0,1,0,1
Christian Cantwell,United States,2008,Athletics,0,1,0,1
Shalane Flanagan,United States,2008,Athletics,0,0,1,1
Hyleas Fountain,United States,2008,Athletics,0,1,0,1
Yipsi Moreno,Cuba,2008,Athletics,0,1,0,1
Nadezhda Ostapchuk,Belarus,2008,Athletics,0,0,1,1
Élodie Ouédraogo,Belgium,2008,Athletics,0,1,0,1
Yaroslav Rybakov,Russia,2008,Athletics,0,0,1,1
Leevan Sands,Bahamas,2008,Athletics,0,0,1,1
Barbora Špotáková,Czech Republic,2008,Athletics,1,0,0,1
Dwight Thomas,Jamaica,2008,Athletics,1,0,0,1
Nataliya Tobias,Ukraine,2008,Athletics,0,0,1,1
Ivano Brugnetti,Italy,2004,Athletics,1,0,0,1
Michelle Burgher,Jamaica,2004,Athletics,0,0,1,1
Jolanda Ceplak,Slovenia,2004,Athletics,0,0,1,1
Maria Cioncan,Romania,2004,Athletics,0,0,1,1
Nathan Deakes,Australia,2004,Athletics,0,0,1,1
Uchenna Emedolu,Nigeria,2004,Athletics,0,0,1,1
Francisco Javier Fernández,Spain,2004,Athletics,0,1,0,1
Ana Guevara,Mexico,2004,Athletics,0,1,0,1
Joanna Hayes,United States,2004,Athletics,1,0,0,1
Tatyana Kotova,Russia,2004,Athletics,0,0,1,1
Mirela Maniani-Tzelili,Greece,2004,Athletics,0,0,1,1
Coby Miller,United States,2004,Athletics,0,1,0,1
Joachim Olsen,Denmark,2004,Athletics,0,0,1,1
Rui Silva,Portugal,2004,Athletics,0,0,1,1
Kelly Sotherton,Great Britain,2004,Athletics,0,0,1,1
Toby Stevenson,United States,2004,Athletics,0,1,0,1
Darren Campbell,Great Britain,2000,Athletics,0,1,0,1
Clement Chukwu,Nigeria,2000,Athletics,1,0,0,1
André da Silva,Brazil,2000,Athletics,0,1,0,1
Cathy Freeman,Australia,2000,Athletics,1,0,0,1
Haile Gebrselassie,Ethiopia,2000,Athletics,1,0,0,1
Steffi Graf,Austria,2000,Athletics,0,1,0,1
Olena Hovorova,Ukraine,2000,Athletics,0,0,1,1
Anastasia Kelesidou,Greece,2000,Athletics,0,1,0,1
Kostas Kenteris,Greece,2000,Athletics,1,0,0,1
Sergey Makarov,Russia,2000,Athletics,0,0,1,1
Troy McIntosh,Bahamas,2000,Athletics,0,0,1,1
Maria Mutola,Mozambique,2000,Athletics,1,0,0,1
Iván Pedroso,Cuba,2000,Athletics,1,0,0,1
Catherine Pomales-Scott,Jamaica,2000,Athletics,0,1,0,1
Edson Ribeiro,Brazil,2000,Athletics,0,1,0,1
Natasha Sazanovich,Belarus,2000,Athletics,0,0,1,1
Lidia Simon,Romania,2000,Athletics,0,1,0,1
André Myhrer,Sweden,2010,Alpine Skiing,0,0,1,1
Reinfried Herbst,Austria,2006,Alpine Skiing,0,1,0,1
Andreas Schifferer,Austria,2002,Alpine Skiing,0,0,1,1
Choi Hyeon-Ju,South Korea,2012,Archery,1,0,0,1
Takaharu Furukawa,Japan,2012,Archery,0,1,0,1
Im Dong-Hyeon,South Korea,2012,Archery,0,0,1,1
Lee Seong-Jin,South Korea,2012,Archery,1,0,0,1
Viktor Ruban,Ukraine,2008,Archery,1,0,0,1
He Ying,China,2004,Archery,0,1,0,1
Petria Thomas,Australia,2004,Swimming,3,1,0,4
Ole Einar Bjørndalen,Norway,2002,Biathlon,4,0,0,4
Cullen Jones,United States,2012,Swimming,1,2,0,3
Chad Hedrick,United States,2006,Speed Skating,1,1,1,3
Sabine Völker,Germany,2002,Speed Skating,0,2,1,3
Yang Wei,China,2008,Gymnastics,2,1,0,3
Wang Hao,China,2012,Table Tennis,1,1,0,2
Ma Lin,China,2008,Table Tennis,2,0,0,2
Takeshi Matsuda,Japan,2012,Swimming,0,1,1,2
Oussama Mellouli,Tunisia,2012,Swimming,1,0,1,2
Grant Hackett,Australia,2008,Swimming,0,1,1,2
Jason Lezak,United States,2004,Swimming,1,0,1,2
Neil Walker,United States,2004,Swimming,1,0,1,2
Josh Davis,United States,2000,Swimming,0,2,0,2
Simon Ammann,Switzerland,2010,Ski Jumping,2,0,0,2
Jin Jong-O,South Korea,2008,Shooting,1,1,0,2
Georgeta Damian-Andrunache,Romania,2004,Rowing,2,0,0,2
Viorica Susanu,Romania,2004,Rowing,2,0,0,2
Pieta van Dishoeck,Netherlands,2000,Rowing,0,2,0,2
Marius Urzica,Romania,2004,Gymnastics,0,1,1,2
Margherita Granbassi,Italy,2008,Fencing,0,0,2,2
Salvatore Sanzo,Italy,2004,Fencing,1,1,0,2
Sarah Hammer,United States,2012,Cycling,0,2,0,2
Anna Meares,Australia,2012,Cycling,1,0,1,2
Mickaël Bourgain,France,2008,Cycling,0,1,1,2
Bradley Wiggins,Great Britain,2008,Cycling,2,0,0,2
Brad McGee,Australia,2004,Cycling,1,1,0,2
Tobias Angerer,Germany,2006,Cross Country Skiing,0,1,1,2
Claudia Künzel-Nystad,Germany,2006,Cross Country Skiing,0,2,0,2
Kristina Šmigun-Vähi,Estonia,2006,Cross Country Skiing,2,0,0,2
Katerina Neumannová,Czech Republic,2002,Cross Country Skiing,0,2,0,2
Vadim Makhnyov,Belarus,2008,Canoeing,1,0,1,2
Nathan Baggaley,Australia,2004,Canoeing,0,2,0,2
Katalin Kovács,Hungary,2004,Canoeing,1,1,0,2
Eirik Verås Larsen,Norway,2004,Canoeing,1,0,1,2
Andreas Dittmer,Germany,2000,Canoeing,1,0,1,2
Beat Hefti,Switzerland,2006,Bobsleigh,0,0,2,2
Vincent Defrasne,France,2006,Biathlon,1,0,1,2
Vivian Cheruiyot,Kenya,2012,Athletics,0,1,1,2
Tatyana Lebedeva,Russia,2004,Athletics,1,0,1,2
Elisabeth Görgl,Austria,2010,Alpine Skiing,0,0,2,2
Rainer Schönfelder,Austria,2006,Alpine Skiing,0,0,2,2
Kaori Icho,Japan,2012,Wrestling,1,0,0,1
Soslan Tigiyev,Uzbekistan,2012,Wrestling,0,0,1,1
Rustam Totrov,Russia,2012,Wrestling,0,1,0,1
Taras Danko,Ukraine,2008,Wrestling,0,0,1,1
Murad Gaydarov,Belarus,2008,Wrestling,0,0,1,1
Giorgi Gogshelidze,Georgia,2008,Wrestling,0,0,1,1
Aslanbek Khushtov,Russia,2008,Wrestling,1,0,0,1
Tomohiro Matsunaga,Japan,2008,Wrestling,0,1,0,1
Mindaugas Mizgaitis,Lithuania,2008,Wrestling,0,0,1,1
Seyed Mohammadi,Iran,2008,Wrestling,0,0,1,1
Marid Mutalimov,Kazakhstan,2008,Wrestling,0,0,1,1
Yury Patrikeyev,Armenia,2008,Wrestling,0,0,1,1
Seref Eroglu,Turkey,2004,Wrestling,0,1,0,1
Iván Fundora,Cuba,2004,Wrestling,0,0,1,1
Ali Reza Heidari,Iran,2004,Wrestling,0,0,1,1
Vyacheslav Makarenko,Belarus,2004,Wrestling,0,0,1,1
Ali Reza Rezaei,Iran,2004,Wrestling,0,1,0,1
Yevhen Buslovych,Ukraine,2000,Wrestling,0,1,0,1
Eldar K'urt'anidze,Georgia,2000,Wrestling,0,0,1,1
David Musulbes,Russia,2000,Wrestling,1,0,0,1
Sajjad Anoushiravani,Iran,2012,Weightlifting,0,1,0,1
Iván Cambar,Cuba,2012,Weightlifting,0,0,1,1
Lu Xiaojun,China,2012,Weightlifting,1,0,0,1
Sedat Artuç,Turkey,2004,Weightlifting,0,0,1,1
Giorgi Asanidze,Georgia,2004,Weightlifting,1,0,0,1
Oleg Perepechonov,Russia,2004,Weightlifting,0,0,1,1
Gleb Pisarevsky,Russia,2004,Weightlifting,0,0,1,1
Tatyana Stukalova,Belarus,2004,Weightlifting,0,0,1,1
Andrey Chemerkin,Russia,2000,Weightlifting,0,0,1,1
Pyrros Dimas,Greece,2000,Weightlifting,1,0,0,1
Sergey Lavrenov,Belarus,2000,Weightlifting,0,0,1,1
Tara Nott-Cunningham,United States,2000,Weightlifting,1,0,0,1
Ruth Ogbeifo,Nigeria,2000,Weightlifting,0,1,0,1
Leonidas Sabanis,Greece,2000,Weightlifting,0,1,0,1
Khassaraporn Suta,Thailand,2000,Weightlifting,0,0,1,1
Pietro Figlioli,Italy,2012,Waterpolo,0,1,0,1
Deni Fiorentini,Italy,2012,Waterpolo,0,1,0,1
Jenny Pareja,Spain,2012,Waterpolo,0,1,0,1
Gojko Pijetlovic,Serbia,2012,Waterpolo,0,0,1,1
Kelly Rulon,United States,2012,Waterpolo,1,0,0,1
Lauren Wenger,United States,2012,Waterpolo,1,0,0,1
Nikita Cuffe,Australia,2008,Waterpolo,0,0,1,1
Peter Hudnut,United States,2008,Waterpolo,0,1,0,1
Norbert Madaras,Hungary,2008,Waterpolo,1,0,0,1
Jeff Powers,United States,2008,Waterpolo,0,1,0,1
Brenda Villa,United States,2008,Waterpolo,0,1,0,1
Péter Biros,Hungary,2004,Waterpolo,1,0,0,1
Rajmund Fodor,Hungary,2004,Waterpolo,1,0,0,1
Tamás Kásás,Hungary,2004,Waterpolo,1,0,0,1
Maddalena Musumeci,Italy,2004,Waterpolo,1,0,0,1
Barnabás Steinmetz,Hungary,2004,Waterpolo,1,0,0,1
Noémi Tóth,Italy,2004,Waterpolo,1,0,0,1
Attila Vári,Hungary,2004,Waterpolo,1,0,0,1
Tibor Benedek,Hungary,2000,Waterpolo,1,0,0,1
Nikolay Kozlov,Russia,2000,Waterpolo,0,1,0,1
Zsolt Varga,Hungary,2000,Waterpolo,1,0,0,1
Liz Weekes,Australia,2000,Waterpolo,1,0,0,1
Yury Berezhko,Russia,2012,Volleyball,1,0,0,1
Andrea Giovi,Italy,2012,Volleyball,0,0,1,1
Pereira de Carvalho Endres Jaque,Brazil,2012,Volleyball,1,0,0,1
Lindsey Berg,United States,2008,Volleyball,0,1,0,1
Fabi,Brazil,2008,Volleyball,1,0,0,1
Yang Hao,China,2008,Volleyball,0,0,1,1
Zhang Na,China,2008,Volleyball,0,0,1,1
Zoila Barros,Cuba,2004,Volleyball,0,0,1,1
Chen Jing,China,2004,Volleyball,1,0,0,1
Escadinha,Brazil,2004,Volleyball,1,0,0,1
Gustavo,Brazil,2004,Volleyball,1,0,0,1
André Heller,Brazil,2004,Volleyball,1,0,0,1
Aleksey Kazakov,Russia,2004,Volleyball,0,0,1,1
Luigi Mastrangelo,Italy,2004,Volleyball,0,1,0,1
Ricardinho,Brazil,2004,Volleyball,1,0,0,1
Sergey Tetyukhin,Russia,2004,Volleyball,0,0,1,1
Valerio Vermiglio,Italy,2004,Volleyball,0,1,0,1
Zhang Yuehong,China,2004,Volleyball,1,0,0,1
Karin,Brazil,2000,Volleyball,0,0,1,1
Leila,Brazil,2000,Volleyball,0,0,1,1
Ðula Mešter,Serbia and Montenegro,2000,Volleyball,1,0,0,1
Yevgeny Mitkov,Russia,2000,Volleyball,0,1,0,1
Inessa Sargsyan,Russia,2000,Volleyball,0,1,0,1
Wang Jue Gu,Singapore,2008,Table Tennis,0,1,0,1
Ko Lai Chak,Hong Kong,2004,Table Tennis,0,1,0,1
Finn Tugwell,Denmark,2004,Table Tennis,0,0,1,1
Stephan Vuckovic,Germany,2000,Triathlon,0,1,0,1
Karen Cockburn,Canada,2008,Trampoline,0,1,0,1
Liu Xiaobo,China,2012,Taekwondo,0,0,1,1
Carlo Molfetta,Italy,2012,Taekwondo,1,0,0,1
Yulis Mercedes,Dominican Republic,2008,Taekwondo,0,1,0,1
Alexandros Nikolaidis,Greece,2008,Taekwondo,0,1,0,1
Guillermo Pérez,Mexico,2008,Taekwondo,1,0,0,1
Hadi Saei,Iran,2004,Taekwondo,1,0,0,1
Víctor Estrada,Mexico,2000,Taekwondo,0,0,1,1
Urbia Meléndez,Cuba,2000,Taekwondo,0,1,0,1
Fernando González,Chile,2008,Tennis,0,1,0,1
Venus Williams,United States,2008,Tennis,1,0,0,1
Rainer Schüttler,Germany,2004,Tennis,0,1,0,1
Paola Suárez,Argentina,2004,Tennis,0,0,1,1
Daniel Nestor,Canada,2000,Tennis,1,0,0,1
Miriam Oremans,Netherlands,2000,Tennis,0,1,0,1
Mariya Gromova,Russia,2012,Synchronized Swimming,1,0,0,1
Paola Tirados,Spain,2008,Synchronized Swimming,0,1,0,1
Zhang Xiaohuan,China,2008,Synchronized Swimming,0,0,1,1
Yoko Yoneda,Japan,2004,Synchronized Swimming,0,1,0,1
Fabien Gilot,France,2012,Swimming,1,0,0,1
Brent Hayden,Canada,2012,Swimming,0,0,1,1
Grégory Mallet,France,2012,Swimming,0,1,0,1
Brenton Rickard,Australia,2012,Swimming,0,0,1,1
Hinkelien Schreuder,Netherlands,2012,Swimming,0,1,0,1
Eric Shanteau,United States,2012,Swimming,1,0,0,1
Davis Tarwater,United States,2012,Swimming,1,0,0,1
Peter Vanderkaay,United States,2012,Swimming,0,0,1,1
Thomas Lurz,Germany,2008,Swimming,0,0,1,1
Lars Conrad,Germany,2004,Swimming,0,1,0,1
Lenny Krayzelburg,United States,2004,Swimming,1,0,0,1
Jens Kruppa,Germany,2004,Swimming,0,1,0,1
Aleksandr Popov,Russia,2000,Swimming,0,1,0,1
Marcel Wouda,Netherlands,2000,Swimming,0,0,1,1
Alanna Kraus,Canada,2006,Short-Track Speed Skating,0,1,0,1
Evgeniya Radanova,Bulgaria,2006,Short-Track Speed Skating,0,1,0,1
Steven Bradbury,Australia,2002,Short-Track Speed Skating,1,0,0,1
Katrin Mattscherodt,Germany,2010,Speed Skating,1,0,0,1
Varvara Barysheva,Russia,2006,Speed Skating,0,0,1,1
Galina Likhachova,Russia,2006,Speed Skating,0,0,1,1
Lucille Opitz,Germany,2006,Speed Skating,1,0,0,1
Lovie Jung,United States,2008,Softball,0,1,0,1
Kelly Kretschman,United States,2008,Softball,0,1,0,1
Natalie Hodgskin,Australia,2004,Softball,0,1,0,1
Natalie Titcume,Australia,2004,Softball,0,1,0,1
Natalie Ward,Australia,2004,Softball,0,1,0,1
Jo Brown,Australia,2000,Softball,0,0,1,1
Yumiko Fujii,Japan,2000,Softball,0,1,0,1
Tanya Harding,Australia,2000,Softball,0,0,1,1
Shiori Koseki,Japan,2000,Softball,0,1,0,1
Jennifer McFalls,United States,2000,Softball,1,0,0,1
Marion Kreiner,Austria,2010,Snowboarding,0,0,1,1
Richard Richardsson,Sweden,2002,Snowboarding,0,1,0,1
Lidia Trettel,Italy,2002,Snowboarding,0,0,1,1
Janne Ahonen,Finland,2006,Ski Jumping,0,1,0,1
Tommy Ingebrigtsen,Norway,2006,Ski Jumping,0,0,1,1
Damjan Fras,Slovenia,2002,Ski Jumping,0,0,1,1
Alex Coomber,Great Britain,2002,Skeleton,0,0,1,1
Martin Rettl,Austria,2002,Skeleton,0,1,0,1
Jamie Beyerle-Gray,United States,2012,Shooting,1,0,0,1
Anders Golding,Denmark,2012,Shooting,0,1,0,1
Guo Wenjun,China,2012,Shooting,1,0,0,1
Zuzana Štefeceková,Slovakia,2012,Shooting,0,1,0,1
Eglis Yaima Cruz,Cuba,2008,Shooting,0,0,1,1
Henri Häkkinen,Finland,2008,Shooting,0,0,1,1
Marko Kemppainen,Finland,2004,Shooting,0,1,0,1
Michael Diamond,Australia,2000,Shooting,1,0,0,1
Franck Dumoulin,France,2000,Shooting,1,0,0,1
Mariya Grozdeva,Bulgaria,2000,Shooting,1,0,0,1
Martin Tenk,Czech Republic,2000,Shooting,0,0,1,1
Yang Ling,China,2000,Shooting,1,0,0,1
Támara Echegoyen,Spain,2012,Sailing,1,0,0,1
Tuuli Petäjä,Finland,2012,Sailing,0,1,0,1
Sarah Ayton,Great Britain,2008,Sailing,1,0,0,1
Nathan Wilmot,Australia,2008,Sailing,1,0,0,1
Gal Fridman,Israel,2004,Sailing,1,0,0,1
Christina Otzen,Denmark,2004,Sailing,0,0,1,1
Kazuto Seki,Japan,2004,Sailing,0,0,1,1
Kenjiro Todoroki,Japan,2004,Sailing,0,0,1,1
Therese Torgersson,Sweden,2004,Sailing,0,0,1,1
Rafael Trujillo,Spain,2004,Sailing,0,1,0,1
Vasilij Žbogar,Slovenia,2004,Sailing,0,0,1,1
Ingo Borkowski,Germany,2000,Sailing,0,1,0,1
Carlos Espínola,Argentina,2000,Sailing,0,1,0,1
Thomas Jacobsen,Denmark,2000,Sailing,1,0,0,1
Aaron McIntosh,New Zealand,2000,Sailing,0,0,1,1
Chris Bartley,Great Britain,2012,Rowing,0,1,0,1
Alex Gregory,Great Britain,2012,Rowing,1,0,0,1
Tom James,Great Britain,2012,Rowing,1,0,0,1
Megan Kalmoe,United States,2012,Rowing,0,0,1,1
Dorian Mortelette,France,2012,Rowing,0,1,0,1
Roline Repelaer van Driel,Netherlands,2012,Rowing,0,0,1,1
Rebecca Scown,New Zealand,2012,Rowing,0,0,1,1
Peter Taylor,New Zealand,2012,Rowing,0,0,1,1
Jacobine Veenhoven,Netherlands,2012,Rowing,0,0,1,1
Luca Agamennoni,Italy,2008,Rowing,0,1,0,1
David Crawshay,Australia,2008,Rowing,1,0,0,1
Debbie Flood,Great Britain,2008,Rowing,0,1,0,1
Scott Frandsen,Canada,2008,Rowing,0,1,0,1
Josh Inman,United States,2008,Rowing,0,0,1,1
Michal Jelinski,Poland,2008,Rowing,1,0,0,1
Maxi McKenzie-McHarg,Australia,2008,Rowing,0,1,0,1
Anna Mickelson-Cummins,United States,2008,Rowing,1,0,0,1
Rasmus Quist,Denmark,2008,Rowing,0,0,1,1
Annemarieke van Rumpt,Netherlands,2008,Rowing,0,1,0,1
Matt Wells,Great Britain,2008,Rowing,0,0,1,1
Mary Whipple,United States,2008,Rowing,1,0,0,1
Chris Ahrens,United States,2004,Rowing,1,0,0,1
Salvatore Amitrano,Italy,2004,Rowing,0,0,1,1
Lorenzo Bertini,Italy,2004,Rowing,0,0,1,1
Megan Dirkmaat,United States,2004,Rowing,0,1,0,1
Frédéric Dufour,France,2004,Rowing,0,1,0,1
Gerritjan Eggenkamp,Netherlands,2004,Rowing,0,1,0,1
Katherine Grainger,Great Britain,2004,Rowing,0,1,0,1
Kerstin Kowalski-El-Qalqili,Germany,2004,Rowing,1,0,0,1
Glen Loftus,Australia,2004,Rowing,0,1,0,1
Vasilios Polymeros,Greece,2004,Rowing,0,0,1,1
Olaf Tufte,Norway,2004,Rowing,1,0,0,1
Kirsten van der Kolk,Netherlands,2004,Rowing,0,0,1,1
Steve Williams,Great Britain,2004,Rowing,1,0,0,1
Ivo Yanakiev,Bulgaria,2004,Rowing,0,0,1,1
Iztok Cop,Slovenia,2000,Rowing,1,0,0,1
James Cracknell,Great Britain,2000,Rowing,1,0,0,1
Ben Dodwell,Australia,2000,Rowing,0,0,1,1
Eskild Ebbesen,Denmark,2000,Rowing,0,0,1,1
Rossano Galtarossa,Italy,2000,Rowing,1,0,0,1
Brett Hayman,Australia,2000,Rowing,0,1,0,1
Ben Hunt-Davis,Great Britain,2000,Rowing,1,0,0,1
Yekaterina Khodatovich-Karsten,Belarus,2000,Rowing,1,0,0,1
Carlo Mornati,Italy,2000,Rowing,0,1,0,1
Xeno Müller,Switzerland,2000,Rowing,0,1,0,1
Ted Murphy,United States,2000,Rowing,0,1,0,1
Nick Porzig,Australia,2000,Rowing,0,1,0,1
Robert Richards,Australia,2000,Rowing,0,1,0,1
Emma Robinson,Canada,2000,Rowing,0,0,1,1
Missy Schwen-Ryan,United States,2000,Rowing,0,0,1,1
Kate Slatter,Australia,2000,Rowing,0,1,0,1
Angela Tamas-Alupei,Romania,2000,Rowing,1,0,0,1
Dorota Urbaniak,Canada,2000,Rowing,0,0,1,1
André Willms,Germany,2000,Rowing,0,0,1,1
David Kreiner,Austria,2010,Nordic Combined,1,0,0,1
Ronny Ackermann,Germany,2006,Nordic Combined,0,1,0,1
Christoph Bieler,Austria,2006,Nordic Combined,1,0,0,1
Mario Stecher,Austria,2006,Nordic Combined,1,0,0,1
Laura Asadauskaite,Lithuania,2012,Modern Pentathlon,1,0,0,1
Ádám Marosi,Hungary,2012,Modern Pentathlon,0,0,1,1
Yane Marques,Brazil,2012,Modern Pentathlon,0,0,1,1
Jelena Rublevska,Latvia,2004,Modern Pentathlon,0,1,0,1
Steph Cook,Great Britain,2000,Modern Pentathlon,1,0,0,1
Dmitry Svatkovsky,Russia,2000,Modern Pentathlon,1,0,0,1
Andreas Linger,Austria,2010,Luge,1,0,0,1
David Möller,Germany,2010,Luge,0,1,0,1
